battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range,source,edge_case_type
633.0,1.0,2.6,1.0,6.0,1.0,27.0,0.6,84.0,2.0,19.0,461.0,905.0,1123.0,15.0,1.0,11.0,0.0,1.0,0.0,0,synthetic_train,
1660.0,0.0,1.6,1.0,4.0,0.0,48.0,0.9,167.0,7.0,10.0,756.0,1365.0,1556.0,14.0,11.0,4.0,0.0,1.0,0.0,1,synthetic_train,
1481.0,0.0,2.9,0.0,10.0,0.0,7.0,0.4,105.0,5.0,12.0,56.0,1944.0,3478.0,18.0,1.0,8.0,1.0,0.0,1.0,3,synthetic_train,
1158.0,0.0,2.1,0.0,13.0,0.0,58.0,0.1,166.0,1.0,7.0,1380.0,1565.0,640.0,10.0,2.0,17.0,1.0,1.0,1.0,0,synthetic_train,
1149.0,1.0,0.8,1.0,5.0,1.0,34.0,0.8,148.0,6.0,18.0,1801.0,966.0,662.0,16.0,3.0,13.0,1.0,1.0,1.0,0,synthetic_train,
1787.0,0.0,2.7,1.0,15.0,1.0,39.0,0.7,104.0,8.0,1.0,1542.0,1515.0,1386.0,8.0,3.0,20.0,1.0,0.0,1.0,2,synthetic_train,
628.0,0.0,1.7,0.0,12.0,1.0,13.0,0.6,136.0,2.0,5.0,606.0,1949.0,2513.0,19.0,1.0,16.0,1.0,0.0,0.0,2,synthetic_train,
1546.0,0.0,0.9,0.0,3.0,0.0,35.0,0.8,84.0,8.0,20.0,946.0,862.0,3275.0,6.0,18.0,8.0,0.0,0.0,1.0,3,synthetic_train,
802.0,1.0,0.9,0.0,18.0,1.0,2.0,0.9,164.0,7.0,10.0,1877.0,848.0,2361.0,16.0,15.0,16.0,0.0,1.0,1.0,1,synthetic_train,
641.0,1.0,2.2,1.0,0.0,0.0,58.0,0.6,116.0,6.0,3.0,834.0,558.0,2103.0,6.0,9.0,18.0,1.0,1.0,1.0,1,synthetic_train,
1289.0,0.0,0.6,1.0,13.0,0.0,49.0,1.0,126.0,3.0,8.0,1645.0,1762.0,3515.0,18.0,7.0,13.0,1.0,1.0,0.0,3,synthetic_train,
1963.0,0.0,1.2,0.0,8.0,0.0,30.0,0.7,99.0,1.0,5.0,1132.0,1748.0,898.0,19.0,3.0,16.0,1.0,0.0,0.0,1,synthetic_train,
1603.0,0.0,0.8,0.0,13.0,1.0,54.0,0.7,124.0,4.0,11.0,978.0,1120.0,3631.0,17.0,18.0,11.0,1.0,0.0,0.0,3,synthetic_train,
1641.0,1.0,1.6,0.0,15.0,1.0,53.0,0.4,127.0,7.0,4.0,1147.0,1807.0,1426.0,16.0,15.0,19.0,1.0,1.0,0.0,1,synthetic_train,
1576.0,1.0,1.5,1.0,13.0,1.0,9.0,0.1,107.0,5.0,8.0,438.0,1476.0,1288.0,12.0,14.0,6.0,1.0,0.0,1.0,0,synthetic_train,
1679.0,0.0,1.8,0.0,13.0,1.0,5.0,0.3,198.0,6.0,19.0,834.0,1967.0,3825.0,8.0,8.0,10.0,1.0,1.0,1.0,3,synthetic_train,
1269.0,0.0,1.2,0.0,16.0,0.0,17.0,0.8,113.0,7.0,1.0,596.0,1883.0,2673.0,19.0,0.0,6.0,1.0,0.0,0.0,1,synthetic_train,
692.0,1.0,0.6,0.0,14.0,1.0,2.0,0.7,101.0,3.0,16.0,1485.0,1938.0,1872.0,12.0,12.0,3.0,0.0,1.0,1.0,1,synthetic_train,
1759.0,1.0,2.0,0.0,16.0,0.0,38.0,0.4,146.0,1.0,1.0,1200.0,1088.0,1491.0,17.0,9.0,13.0,1.0,0.0,1.0,2,synthetic_train,
1175.0,0.0,1.4,1.0,8.0,1.0,35.0,0.7,118.0,8.0,9.0,783.0,1450.0,1908.0,15.0,5.0,4.0,1.0,0.0,1.0,1,synthetic_train,
1250.0,0.0,2.1,0.0,4.0,0.0,35.0,0.3,134.0,5.0,14.0,1612.0,750.0,3219.0,15.0,5.0,6.0,1.0,0.0,1.0,2,synthetic_train,
1056.0,1.0,0.8,0.0,4.0,1.0,6.0,0.3,167.0,5.0,20.0,888.0,1840.0,828.0,10.0,1.0,16.0,0.0,0.0,1.0,0,synthetic_train,
773.0,1.0,0.5,1.0,12.0,1.0,59.0,1.0,89.0,5.0,5.0,1869.0,976.0,908.0,11.0,16.0,6.0,0.0,1.0,0.0,1,synthetic_train,
1890.0,1.0,1.1,0.0,10.0,1.0,63.0,0.5,141.0,7.0,1.0,1187.0,1171.0,1395.0,11.0,3.0,18.0,1.0,1.0,1.0,2,synthetic_train,
1672.0,0.0,1.6,0.0,1.0,1.0,39.0,0.3,82.0,7.0,15.0,1736.0,1390.0,2060.0,14.0,15.0,2.0,0.0,1.0,0.0,2,synthetic_train,
1465.0,0.0,1.5,1.0,4.0,0.0,2.0,0.5,85.0,6.0,18.0,1935.0,1680.0,3305.0,15.0,18.0,10.0,1.0,0.0,1.0,3,synthetic_train,
1103.0,1.0,2.5,1.0,19.0,0.0,26.0,0.4,91.0,7.0,11.0,641.0,1596.0,1044.0,7.0,0.0,3.0,0.0,1.0,1.0,0,synthetic_train,
1734.0,1.0,1.4,0.0,14.0,1.0,47.0,0.8,99.0,3.0,1.0,511.0,1932.0,3198.0,8.0,11.0,3.0,1.0,1.0,0.0,3,synthetic_train,
1318.0,1.0,1.8,0.0,15.0,1.0,49.0,1.0,122.0,6.0,10.0,1638.0,1568.0,3653.0,5.0,1.0,17.0,1.0,0.0,1.0,3,synthetic_train,
1165.0,0.0,2.0,1.0,3.0,0.0,17.0,0.6,193.0,8.0,8.0,454.0,1693.0,1886.0,12.0,15.0,3.0,0.0,0.0,1.0,1,synthetic_train,
1175.0,1.0,0.6,0.0,1.0,1.0,53.0,0.6,189.0,2.0,9.0,1474.0,1358.0,3854.0,15.0,9.0,18.0,1.0,0.0,0.0,3,synthetic_train,
840.0,0.0,1.8,1.0,5.0,0.0,62.0,0.4,92.0,5.0,1.0,346.0,1123.0,3600.0,8.0,0.0,13.0,0.0,0.0,0.0,2,synthetic_train,
638.0,0.0,1.4,1.0,17.0,1.0,34.0,0.6,199.0,6.0,6.0,1705.0,1869.0,3239.0,15.0,14.0,11.0,1.0,1.0,0.0,3,synthetic_train,
1331.0,1.0,1.6,0.0,10.0,0.0,26.0,0.4,156.0,5.0,20.0,1352.0,1066.0,1679.0,5.0,14.0,19.0,1.0,0.0,0.0,1,synthetic_train,
1831.0,1.0,0.8,1.0,15.0,0.0,35.0,0.1,146.0,8.0,0.0,1021.0,1429.0,1381.0,17.0,17.0,9.0,1.0,0.0,0.0,1,synthetic_train,
595.0,1.0,2.5,0.0,9.0,1.0,3.0,0.9,175.0,4.0,19.0,880.0,937.0,3491.0,15.0,9.0,9.0,0.0,0.0,1.0,2,synthetic_train,
1787.0,1.0,2.9,1.0,9.0,1.0,34.0,0.5,138.0,2.0,10.0,1249.0,1223.0,1908.0,15.0,17.0,9.0,0.0,0.0,1.0,2,synthetic_train,
1741.0,0.0,0.6,0.0,12.0,1.0,3.0,0.5,112.0,2.0,12.0,762.0,1050.0,374.0,15.0,12.0,14.0,0.0,1.0,0.0,0,synthetic_train,
915.0,1.0,2.0,0.0,19.0,1.0,4.0,0.2,144.0,7.0,19.0,780.0,887.0,2940.0,10.0,9.0,18.0,1.0,0.0,0.0,2,synthetic_train,
1447.0,0.0,2.4,1.0,8.0,1.0,36.0,0.9,167.0,6.0,4.0,400.0,1730.0,1555.0,19.0,6.0,12.0,0.0,1.0,0.0,1,synthetic_train,
747.0,0.0,1.2,1.0,11.0,0.0,34.0,0.3,162.0,5.0,20.0,309.0,1650.0,3758.0,16.0,5.0,7.0,0.0,1.0,0.0,2,synthetic_train,
1637.0,1.0,2.5,0.0,18.0,1.0,64.0,0.5,100.0,4.0,5.0,1747.0,1551.0,3456.0,7.0,11.0,18.0,1.0,1.0,1.0,3,synthetic_train,
1550.0,1.0,2.1,1.0,7.0,1.0,33.0,0.9,193.0,4.0,7.0,1469.0,624.0,646.0,18.0,14.0,13.0,0.0,0.0,0.0,0,synthetic_train,
1031.0,1.0,2.8,0.0,16.0,1.0,63.0,0.5,114.0,8.0,9.0,869.0,874.0,3629.0,16.0,0.0,17.0,0.0,1.0,1.0,2,synthetic_train,
601.0,0.0,3.0,0.0,10.0,1.0,52.0,0.9,179.0,6.0,12.0,1631.0,826.0,3810.0,9.0,7.0,10.0,0.0,0.0,1.0,3,synthetic_train,
