battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
633,1,2.6,1,6,1,27,0.6,84,2,19,461,905,1123,15,1,11,0,1,0,0
1660,0,1.6,1,4,0,48,0.9,167,7,10,756,1365,1556,14,11,4,0,1,0,1
1481,0,2.9,0,10,0,7,0.4,105,5,12,56,1944,3478,18,1,8,1,0,1,3
1158,0,2.1,0,13,0,58,0.1,166,1,7,1380,1565,640,10,2,17,1,1,1,0
1149,1,0.8,1,5,1,34,0.8,148,6,18,1801,966,662,16,3,13,1,1,1,0
1787,0,2.7,1,15,1,39,0.7,104,8,1,1542,1515,1386,8,3,20,1,0,1,2
628,0,1.7,0,12,1,13,0.6,136,2,5,606,1949,2513,19,1,16,1,0,0,2
1546,0,0.9,0,3,0,35,0.8,84,8,20,946,862,3275,6,18,8,0,0,1,3
802,1,0.9,0,18,1,2,0.9,164,7,10,1877,848,2361,16,15,16,0,1,1,1
641,1,2.2,1,0,0,58,0.6,116,6,3,834,558,2103,6,9,18,1,1,1,1
1289,0,0.6,1,13,0,49,1.0,126,3,8,1645,1762,3515,18,7,13,1,1,0,3
1963,0,1.2,0,8,0,30,0.7,99,1,5,1132,1748,898,19,3,16,1,0,0,1
1603,0,0.8,0,13,1,54,0.7,124,4,11,978,1120,3631,17,18,11,1,0,0,3
1641,1,1.6,0,15,1,53,0.4,127,7,4,1147,1807,1426,16,15,19,1,1,0,1
1576,1,1.5,1,13,1,9,0.1,107,5,8,438,1476,1288,12,14,6,1,0,1,0
1679,0,1.8,0,13,1,5,0.3,198,6,19,834,1967,3825,8,8,10,1,1,1,3
1269,0,1.2,0,16,0,17,0.8,113,7,1,596,1883,2673,19,0,6,1,0,0,1
692,1,0.6,0,14,1,2,0.7,101,3,16,1485,1938,1872,12,12,3,0,1,1,1
1759,1,2.0,0,16,0,38,0.4,146,1,1,1200,1088,1491,17,9,13,1,0,1,2
1175,0,1.4,1,8,1,35,0.7,118,8,9,783,1450,1908,15,5,4,1,0,1,1
1250,0,2.1,0,4,0,35,0.3,134,5,14,1612,750,3219,15,5,6,1,0,1,2
1056,1,0.8,0,4,1,6,0.3,167,5,20,888,1840,828,10,1,16,0,0,1,0
773,1,0.5,1,12,1,59,1.0,89,5,5,1869,976,908,11,16,6,0,1,0,1
1890,1,1.1,0,10,1,63,0.5,141,7,1,1187,1171,1395,11,3,18,1,1,1,2
1672,0,1.6,0,1,1,39,0.3,82,7,15,1736,1390,2060,14,15,2,0,1,0,2
1465,0,1.5,1,4,0,2,0.5,85,6,18,1935,1680,3305,15,18,10,1,0,1,3
1103,1,2.5,1,19,0,26,0.4,91,7,11,641,1596,1044,7,0,3,0,1,1,0
1734,1,1.4,0,14,1,47,0.8,99,3,1,511,1932,3198,8,11,3,1,1,0,3
1318,1,1.8,0,15,1,49,1.0,122,6,10,1638,1568,3653,5,1,17,1,0,1,3
1165,0,2.0,1,3,0,17,0.6,193,8,8,454,1693,1886,12,15,3,0,0,1,1
1175,1,0.6,0,1,1,53,0.6,189,2,9,1474,1358,3854,15,9,18,1,0,0,3
840,0,1.8,1,5,0,62,0.4,92,5,1,346,1123,3600,8,0,13,0,0,0,2
638,0,1.4,1,17,1,34,0.6,199,6,6,1705,1869,3239,15,14,11,1,1,0,3
1331,1,1.6,0,10,0,26,0.4,156,5,20,1352,1066,1679,5,14,19,1,0,0,1
1831,1,0.8,1,15,0,35,0.1,146,8,0,1021,1429,1381,17,17,9,1,0,0,1
595,1,2.5,0,9,1,3,0.9,175,4,19,880,937,3491,15,9,9,0,0,1,2
1787,1,2.9,1,9,1,34,0.5,138,2,10,1249,1223,1908,15,17,9,0,0,1,2
